"game","mod","page","downloadUrl"
"1.19.4","4.17.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/lUe59P64/Super%20Factory%20Manager-1.19.4-4.17.0.jar"
"1.19.2","4.17.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/CzPaLHkG/Super%20Factory%20Manager-1.19.2-4.17.0.jar"
"1.20.4","4.16.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/B2caklsm/Super%20Factory%20Manager-1.20.4-4.16.0.jar"
"1.20.3","4.16.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/Lshv2sgV/Super%20Factory%20Manager-1.20.3-4.16.0.jar"
"1.20.2","4.16.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/bxXzACSL/Super%20Factory%20Manager-1.20.2-4.16.0.jar"
"1.20.1","4.16.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/cmiMjyun/Super%20Factory%20Manager-1.20.1-4.16.0.jar"
"1.20","4.16.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/S6F51gfd/Super%20Factory%20Manager-1.20-4.16.0.jar"
"1.19.4","4.16.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/9jd5K8Ch/Super%20Factory%20Manager-1.19.4-4.16.0.jar"
"1.19.2","4.16.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/84ZSNFaH/Super%20Factory%20Manager-1.19.2-4.16.0.jar"
"1.20.4","4.15.1","5","https://cdn.modrinth.com/data/aecUorJQ/versions/lhqW3DTu/Super%20Factory%20Manager-1.20.4-4.15.1.jar"
"1.20.3","4.15.1","5","https://cdn.modrinth.com/data/aecUorJQ/versions/IyyHpQia/Super%20Factory%20Manager-1.20.3-4.15.1.jar"
"1.20.2","4.15.1","5","https://cdn.modrinth.com/data/aecUorJQ/versions/InRfTkZN/Super%20Factory%20Manager-1.20.2-4.15.1.jar"
"1.20.1","4.15.1","5","https://cdn.modrinth.com/data/aecUorJQ/versions/DEnnTdTH/Super%20Factory%20Manager-1.20.1-4.15.1.jar"
"1.20","4.15.1","5","https://cdn.modrinth.com/data/aecUorJQ/versions/ZoLmUvGw/Super%20Factory%20Manager-1.20-4.15.1.jar"
"1.19.4","4.15.1","5","https://cdn.modrinth.com/data/aecUorJQ/versions/tO6ckbso/Super%20Factory%20Manager-1.19.4-4.15.1.jar"
"1.19.2","4.15.1","5","https://cdn.modrinth.com/data/aecUorJQ/versions/beHdViQ7/Super%20Factory%20Manager-1.19.2-4.15.1.jar"
"1.20.1","4.14.1","6","https://cdn.modrinth.com/data/aecUorJQ/versions/njkZiieG/Super%20Factory%20Manager-1.20.1-4.14.1.jar"
"1.20","4.14.1","6","https://cdn.modrinth.com/data/aecUorJQ/versions/u7rMrclX/Super%20Factory%20Manager-1.20-4.14.1.jar"
"1.19.4","4.14.1","6","https://cdn.modrinth.com/data/aecUorJQ/versions/vwu8sEF9/Super%20Factory%20Manager-1.19.4-4.14.1.jar"
"1.19.2","4.14.1","6","https://cdn.modrinth.com/data/aecUorJQ/versions/PLSG4FZs/Super%20Factory%20Manager-1.19.2-4.14.1.jar"
